Genre,Artist,Track Name,Full Multitrack Link,Excerpt Multitrack Link,Number of Tracks (Excerpt),Number of Tracks (Full),Full Mix Preview,Excerpt Mix Preview,Unmastered WAV,Forum Link,Podcast Link
Acoustic / Jazz / Country / Orchestral,David Youngs,"'Dust, You And Me'",https://mtkdata.cambridgemusictechnology.co.uk/MTK003/DavidYoungs_DustYouAndMe_Full.zip,,,1,https://previews.cambridge-mt.com/DustYouAndMe_Full_Preview.mp3,,https://previews.cambridge-mt.com/DustYouAndMe_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=11,
Acoustic / Jazz / Country / Orchestral,David Youngs,'Long Overdue',https://mtkdata.cambridgemusictechnology.co.uk/MTK003/DavidYoungs_LongOverdue_Full.zip,,,4,https://previews.cambridge-mt.com/LongOverdue_Full_Preview.mp3,,https://previews.cambridge-mt.com/LongOverdue_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=12,
Acoustic / Jazz / Country / Orchestral,David Youngs,'Technomantra',https://mtkdata.cambridgemusictechnology.co.uk/MTK003/DavidYoungs_Technomantra_Full.zip,,,2,https://previews.cambridge-mt.com/Technomantra_Full_Preview.mp3,,https://previews.cambridge-mt.com/Technomantra_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=13,
Acoustic / Jazz / Country / Orchestral,Dino On The Loose,'Queen's Light',https://mtkdata.cambridgemusictechnology.co.uk/MTK005/DinoOnTheLoose_QueensLight_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK005/DinoOnTheLoose_QueensLight.zip,17,20,https://previews.cambridge-mt.com/QueensLight_Full_Preview.mp3,https://previews.cambridge-mt.com/QueensLight_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=164,
Acoustic / Jazz / Country / Orchestral,Don Camillo Choir,'The Marsh Marigold's Song',https://multitracks.cambridge-mt.com/DonCamilloChoir_MarshMarigoldsSong_Full.zip,https://multitracks.cambridge-mt.com/DonCamilloChoir_MarshMarigoldsSong.zip,12,12,https://previews.cambridge-mt.com/MarshMarigoldsSong_Full_Preview.mp3,https://previews.cambridge-mt.com/MarshMarigoldsSong_Preview.mp3,https://previews.cambridge-mt.com/MarshMarigoldsSong_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=359,
Acoustic / Jazz / Country / Orchestral,Don Camillo Choir,'Trude The Bumblebee',https://multitracks.cambridge-mt.com/DonCamilloChoir_TrudeTheBumblebee_Full.zip,https://multitracks.cambridge-mt.com/DonCamilloChoir_TrudeTheBumblebee.zip,19,20,https://previews.cambridge-mt.com/TrudeTheBumblebee_Full_Preview.mp3,https://previews.cambridge-mt.com/TrudeTheBumblebee_Preview.mp3,https://previews.cambridge-mt.com/TrudeTheBumblebee_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=351,
Acoustic / Jazz / Country / Orchestral,Don Camillo Choir,'The Woodworm Song',https://multitracks.cambridge-mt.com/DonCamilloChoir_WoodwormSong_Full.zip,https://multitracks.cambridge-mt.com/DonCamilloChoir_WoodwormSong.zip,11,11,https://previews.cambridge-mt.com/WoodwormSong_Full_Preview.mp3,https://previews.cambridge-mt.com/WoodwormSong_Preview.mp3,https://previews.cambridge-mt.com/WoodwormSong_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=372,
Acoustic / Jazz / Country / Orchestral,Eddie Garrido,'5th Floor',https://multitracks.cambridge-mt.com/EddieGarrido_5thFloor_Full.zip,https://multitracks.cambridge-mt.com/EddieGarrido_5thFloor.zip,7,10,https://previews.cambridge-mt.com/5thFloor_Full_Preview.mp3,https://previews.cambridge-mt.com/5thFloor_Preview.mp3,https://previews.cambridge-mt.com/5thFloor_UnmasteredWAV.wav,https://discussion.cambridge-mt.com/forumdisplay.php?fid=762,
Acoustic / Jazz / Country / Orchestral,Eddie Garrido,'Africa',https://mtkdata.cambridgemusictechnology.co.uk/MTK018/EddieGarrido_Africa_Full.zip,https://mtkdata.cambridgemusictechnology.co.uk/MTK018/EddieGarrido_Africa.zip,11,15,https://previews.cambridge-mt.com/Africa_Full_Preview.mp3,https://previews.cambridge-mt.com/Africa_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=478,
Acoustic / Jazz / Country / Orchestral,Eddie Garrido,'A Cry For Normalcy',https://multitracks.cambridge-mt.com/EddieGarrido_ACryForNormalcy_Full.zip,https://multitracks.cambridge-mt.com/EddieGarrido_ACryForNormalcy.zip,9,10,https://previews.cambridge-mt.com/ACryForNormalcy_Full_Preview.mp3,https://previews.cambridge-mt.com/ACryForNormalcy_Preview.mp3,,https://discussion.cambridge-mt.com/forumdisplay.php?fid=844,
